Datum,Kurs
2021-12-17,291.50
2021-12-20,285.00
2021-12-21,293.82
2021-12-22,295.00
2021-12-23,295.00
2021-12-27,295.00
2021-12-28,295.01
2021-12-29,295.01
2021-12-30,295.01
2022-01-03,298.30
2022-01-04,300.00
2022-01-05,295.00
2022-01-06,295.48
2022-01-07,289.92
2022-01-10,287.28
2022-01-11,291.56
2022-01-12,300.62
2022-01-13,297.41
2022-01-14,290.00
2022-01-17,290.00
2022-01-18,293.63
2022-01-19,285.00
2022-01-20,285.00
2022-01-21,280.00
2022-01-24,275.00
2022-01-25,281.55
2022-01-26,280.00
2022-01-27,282.15
2022-01-28,280.07
2022-01-31,291.22
2022-02-01,292.93
2022-02-02,287.34
2022-02-03,288.00
2022-02-04,283.00
2022-02-07,279.66
2022-02-08,279.03
2022-02-09,287.00
2022-02-10,284.10
2022-02-11,283.42
2022-02-14,282.58
2022-02-15,286.35
2022-02-16,285.24
2022-02-17,282.86
2022-02-18,275.00
2022-02-21,268.66
2022-02-22,271.78
2022-02-23,271.78
2022-02-24,265.29
2022-02-25,271.81
2022-02-28,275.52
2022-03-01,272.39
2022-03-02,272.00
2022-03-03,272.00
2022-03-04,267.63
2022-03-07,267.59
2022-03-08,261.00
2022-03-09,270.72
2022-03-10,261.00
2022-03-11,261.00
2022-03-14,261.00
2022-03-15,261.83
2022-03-16,267.07
2022-03-17,275.81
2022-03-18,278.75
2022-03-21,279.66
2022-03-22,282.00
2022-03-23,282.00
2022-03-24,277.98
2022-03-25,285.36
2022-03-28,286.37
2022-03-29,291.00
2022-03-30,285.00
2022-03-31,285.00
2022-04-01,285.00
2022-04-04,291.00
2022-04-05,292.00
2022-04-06,285.00
2022-04-07,285.00
2022-04-08,285.00
2022-04-11,283.54
2022-04-12,280.60
2022-04-13,279.00
2022-04-14,282.55
2022-04-19,280.99
2022-04-20,280.99
2022-04-21,277.09
2022-04-22,268.10
2022-04-25,270.00
2022-04-26,268.00
2022-04-27,268.00
2022-04-28,271.49
2022-04-29,270.00
2022-05-02,270.00
