Datum;Schluss
2023-05-03;46.36
2023-05-04;45.9
2023-05-05;47.53
2023-05-08;46.98
2023-05-09;46.85
2023-05-10;47.13
2023-05-11;47.11
2023-05-12;47.1
2023-05-15;47.73
2023-05-16;47.11
2023-05-17;46.93
2023-05-18;47.46
2023-05-19;47.61
2023-05-22;47.29
2023-05-23;47.47
2023-05-24;46.43
2023-05-25;45.92
2023-05-26;46.91
2023-05-29;46.71
2023-05-30;45.98
2023-05-31;44.42
2023-06-01;44.85
2023-06-02;46.79
2023-06-05;46.54
2023-06-06;46.76
2023-06-07;46.45
2023-06-08;46.87
2023-06-09;46.03
2023-06-12;46.3
2023-06-13;46.77
2023-06-14;46.84
2023-06-15;46.36
2023-06-16;45.7
2023-06-19;44.07
2023-06-20;42.66
2023-06-21;42.62
2023-06-22;42.38
2023-06-23;42.24
2023-06-26;42.79
2023-06-27;43.11
2023-06-28;44.08
2023-06-29;44.04
2023-06-30;44.47
2023-07-03;44.74
2023-07-04;44.69
2023-07-05;44.09
2023-07-06;43.07
2023-07-07;45.25
2023-07-10;44.97
2023-07-11;45.58
2023-07-12;46.74
2023-07-13;46.43
2023-07-14;45.36
2023-07-17;45.21
2023-07-18;46.64
2023-07-19;47.07
2023-07-20;47.68
2023-07-21;47.47
2023-07-24;47.33
2023-07-25;47.62
2023-07-26;47.3
2023-07-27;47.9
2023-07-28;49.39
2023-07-31;48.77
2023-08-01;48.66
2023-08-02;47.75
2023-08-03;47.19
2023-08-04;47.13
2023-08-07;47.17
2023-08-08;46.43
2023-08-09;46.56
2023-08-10;47.38
2023-08-11;46.76
2023-08-14;46.36
2023-08-15;45.65
2023-08-16;45.71
2023-08-17;45.74
2023-08-18;45.56
2023-08-21;45.63
2023-08-22;45.86
2023-08-23;45.52
2023-08-24;45.14
2023-08-25;45.03
2023-08-28;45.4
2023-08-29;45.98
2023-08-30;46.25
2023-08-31;46.79
2023-09-01;46.89
2023-09-04;46.62
2023-09-05;45.89
2023-09-06;45.81
2023-09-07;45.12
2023-09-08;44.48
2023-09-11;45
2023-09-12;44.28
2023-09-13;44.33
2023-09-14;45.12
2023-09-15;46.25
2023-09-18;45.31
2023-09-19;45.2
2023-09-20;45.69
2023-09-21;43.47
2023-09-22;43.09
2023-09-25;42.78
2023-09-26;42.11
2023-09-27;42.28
2023-09-28;42.65
2023-09-29;42.95
2023-10-02;41.89
2023-10-03;41.76
2023-10-04;41.85
2023-10-05;41.35
2023-10-06;41.82
2023-10-09;40.94
2023-10-10;42.3
2023-10-11;42.5
2023-10-12;42.14
2023-10-13;42.04
2023-10-16;42.52
2023-10-17;42.46
2023-10-18;41.84
2023-10-19;41.43
2023-10-20;41
2023-10-23;40.92
2023-10-24;40.95
2023-10-25;40.59
2023-10-26;41.19
2023-10-27;41.46
2023-10-30;41.68
2023-10-31;43.54
2023-11-01;42.29
2023-11-02;43.52
2023-11-03;43.87
2023-11-06;43.16
2023-11-07;43.48
2023-11-08;43.58
2023-11-09;44.48
2023-11-10;43.72
2023-11-13;44.09
2023-11-14;44.75
2023-11-15;45.05
2023-11-16;43.93
2023-11-17;44.29
2023-11-20;44.21
2023-11-21;43.81
2023-11-22;43.72
2023-11-23;43.81
2023-11-24;44.58
2023-11-27;43.2
2023-11-28;42.71
2023-11-29;42.98
2023-11-30;42.69
2023-12-01;43.24
2023-12-04;43.41
2023-12-05;43.6
2023-12-06;44.44
2023-12-07;45.1
2023-12-08;45.19
2023-12-11;45.43
2023-12-12;45.59
2023-12-13;47.61
2023-12-14;48.14
2023-12-15;48.18
2023-12-18;48.27
2023-12-19;48.57
2023-12-20;48.45
2023-12-21;48.47
2023-12-22;48.54
2023-12-27;48.65
2023-12-28;48.58
2023-12-29;48.78
2024-01-02;49.07
2024-01-03;47.76
2024-01-04;47.7
2024-01-05;46.8
2024-01-08;46.76
2024-01-09;45.51
2024-01-10;45.02
2024-01-11;44.83
2024-01-12;44.78
2024-01-15;44.53
2024-01-16;44.26
2024-01-17;43.16
2024-01-18;43.66
2024-01-19;43.05
2024-01-22;42.82
2024-01-23;43.62
2024-01-24;43.78
2024-01-25;44.96
2024-01-26;45.66
2024-01-29;45.06
2024-01-30;44.47
2024-01-31;44.46
2024-02-01;44.14
2024-02-02;44.68
2024-02-05;44.61
2024-02-06;45.35
2024-02-07;44.59
2024-02-08;44.71
2024-02-09;44.02
2024-02-12;44.82
2024-02-13;45.06
2024-02-14;45.57
2024-02-15;46.09
2024-02-16;46.59
2024-02-19;45.78
2024-02-20;46.05
2024-02-21;46.41
2024-02-22;46.85
2024-02-23;46.6
2024-02-26;46.33
2024-02-27;47.46
2024-02-28;46.97
2024-02-29;47.08
2024-03-01;47.99
2024-03-04;47.1
2024-03-05;47.25
2024-03-06;48.53
2024-03-07;49.06
2024-03-08;48.81
2024-03-11;49.06
2024-03-12;49.5
2024-03-13;49.59
2024-03-14;48.81
2024-03-15;49.31
2024-03-18;49.01
2024-03-19;50.6
2024-03-20;51.88
2024-03-21;52.65
2024-03-22;52.72
2024-03-25;52.93
2024-03-26;52.63
2024-03-27;53.25
2024-03-28;52.93
2024-04-02;53.82
2024-04-03;54.51
2024-04-04;54.92
2024-04-05;53.83
2024-04-08;53.88
2024-04-09;53.6
2024-04-10;54
2024-04-11;52.09
2024-04-12;51.65
2024-04-15;51.75
2024-04-16;50.53
2024-04-17;50.97
2024-04-18;51.07
2024-04-19;50.44
2024-04-22;51.11
2024-04-23;51.08
2024-04-24;51.32
2024-04-25;50.99
2024-04-26;48.83
2024-04-29;49.06
2024-04-30;49.16
2024-05-02;48.65
2024-05-03;49.07
2024-05-06;49.48
2024-05-07;50.08
2024-05-08;49.51
2024-05-09;49.84
2024-05-10;48.81
2024-05-13;49.04
2024-05-14;49.36
2024-05-15;49.64
2024-05-16;49.08
2024-05-17;48.88
2024-05-20;49.26
2024-05-21;49.16
2024-05-22;48.4
2024-05-23;48.44
2024-05-24;48.22
2024-05-27;48.76
2024-05-28;48.22
2024-05-29;47.24
2024-05-30;48.08
2024-05-31;48.41
2024-06-03;47.94
2024-06-04;47.36
2024-06-05;47.18
2024-06-06;46.98
2024-06-07;46.8
2024-06-10;46.15
2024-06-11;46.44
2024-06-12;46.48
2024-06-13;45.62
2024-06-14;44.59
2024-06-17;44.84
2024-06-18;45.04
2024-06-19;44.95
2024-06-20;45.54
2024-06-21;45.15
2024-06-24;46.16
2024-06-25;46.41
2024-06-26;45.21
2024-06-27;45.35
2024-06-28;45.19
2024-07-01;44.39
2024-07-02;44.72
2024-07-03;45.26
2024-07-04;45.45
2024-07-05;45.12
2024-07-08;44.95
2024-07-09;44.21
2024-07-10;43.68
2024-07-11;44.12
2024-07-12;44.66
2024-07-15;43.64
2024-07-16;43.82
2024-07-17;45.11
2024-07-18;45.23
2024-07-19;44.1
2024-07-22;44.82
2024-07-23;44.76
2024-07-24;44.8
2024-07-25;44.77
2024-07-26;43.74
2024-07-29;43
2024-07-30;42.77
2024-07-31;43.1
2024-08-01;42.32
2024-08-02;41.77
2024-08-05;40.84
2024-08-06;40.87
2024-08-07;41.61
2024-08-08;41.59
2024-08-09;41.37
2024-08-12;41.28
2024-08-13;41.46
2024-08-14;41.21
2024-08-15;42.13
2024-08-16;42.55
2024-08-19;43.08
2024-08-20;43.35
2024-08-21;44.16
2024-08-22;44.45
2024-08-23;44.95
2024-08-26;44.97
2024-08-27;45.2
2024-08-28;45.19
2024-08-29;45.73
2024-08-30;45.85
2024-09-02;45.58
2024-09-03;44.49
2024-09-04;44.52
2024-09-05;44.71
2024-09-06;43.42
2024-09-09;43.58
2024-09-10;42.49
2024-09-11;42.77
2024-09-12;42.7
2024-09-13;43.6
2024-09-16;43.56
2024-09-17;44.39
2024-09-18;45.44
2024-09-19;46.8
2024-09-20;46.02
2024-09-23;45.15
2024-09-24;45.7
2024-09-25;45.33
2024-09-26;45.3
2024-09-27;48.28
2024-09-30;47.56
2024-10-01;46.91
2024-10-02;47.24
2024-10-03;47.48
2024-10-04;48.24
2024-10-07;48.33
2024-10-08;46.59
2024-10-09;47.39
2024-10-10;47.34
2024-10-11;47.24
2024-10-14;46.55
2024-10-15;45.92
2024-10-16;46.32
2024-10-17;46.21
2024-10-18;46.99
2024-10-21;46.53
2024-10-22;46.4
2024-10-23;46.04
2024-10-24;46.04
2024-10-25;46.17
2024-10-28;45.85
2024-10-29;45.28
2024-10-30;44.52
2024-10-31;44.65
2024-11-01;45.56
2024-11-04;45.01
2024-11-05;44.05
2024-11-06;44.02
2024-11-07;45.76
2024-11-08;43.39
2024-11-11;44.28
2024-11-12;42.38
2024-11-13;42.22
2024-11-14;42.48
2024-11-15;43.15
2024-11-18;43.12
2024-11-19;42.81
2024-11-20;42.37
2024-11-21;42.11
2024-11-22;42.58
2024-11-25;43.01
2024-11-26;42.3
2024-11-27;42.14
2024-11-28;42.06
2024-11-29;42.42
2024-12-02;43.25
2024-12-03;43.95
2024-12-04;43.66
2024-12-05;43.62
2024-12-06;43.97
2024-12-09;45.14
2024-12-10;44.93
2024-12-11;44.89
2024-12-12;45.07
2024-12-13;44.61
2024-12-16;43.78
2024-12-17;43.63
2024-12-18;43.39
2024-12-19;42.69
2024-12-20;42.54
2024-12-23;42.34
2024-12-27;42.72
2024-12-30;42.46
2025-01-02;42.6
2025-01-03;41.53
2025-01-06;42.27
2025-01-07;42.45
2025-01-08;41.96
2025-01-09;41.91
2025-01-10;41.53
2025-01-13;41.83
2025-01-14;42.51
2025-01-15;44.28
2025-01-16;44.14
2025-01-17;44.44
2025-01-20;45.49
2025-01-21;45.61
2025-01-22;45.28
2025-01-23;45.71
2025-01-24;47
2025-01-27;46.91
2025-01-28;47.22
2025-01-29;46.85
2025-01-30;47.26
2025-01-31;46.61
2025-02-03;44.84
2025-02-04;45.13
2025-02-05;45.09
2025-02-06;48.35
2025-02-07;47.52
